Filename;Moments
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;2,7747
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;4,6294
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;6,6495
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;8,7218
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;10,7477
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;12,9449
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;14,9359
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;16,8835
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;19,0052
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;21,0601
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;23,1702
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;25,2483
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;27,3235
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;29,2972
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;31,4392
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;33,3838
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;35,4823
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;37,5953
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;39,6502
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;41,708
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;43,7223
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;45,815
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;48,0324
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;50,0438
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;51,9885
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;54,1653
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;56,2144
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;58,2113
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;60,2517
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;62,3066
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;64,318
