Filename;Moments
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;3,2273
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;5,5694
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;6,8987
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;9,0493
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;10,8516
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;12,8773
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;14,9234
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;16,8534
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;18,9837
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;20,8557
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;22,8988
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;24,9362
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;26,933
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;28,8108
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\actualcase.wav;30,8365
