Filename;Moments
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;3,2491
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;5,5932
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;6,916
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;8,9352
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;10,8614
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;12,8805
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;14,9461
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;16,8724
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;19,0075
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;20,8642
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;22,9065
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;24,9488
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;26,9447
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;28,8246
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;30,8437
C:\Users\LAB\Documents\MATLAB\P2\etc\voicemodule\data\actualcase.wav;32,9092
